prompt_id,prompt_updated_at,anthropic_evaluated_at,deepseek_evaluated_at,openai_evaluated_at
MCP-H1-0050,2026-02-02T22:26:06.056687+00:00,2026-01-29T19:09:48.154639+00:00,2026-01-29T18:28:58.684883+00:00,2026-01-29T18:07:38.630988+00:00
MCP-H1-0051,2026-02-02T22:26:06.056687+00:00,2026-01-29T18:18:48.620203+00:00,2026-01-29T19:11:33.140156+00:00,2026-01-29T18:39:31.207794+00:00
MCP-H1-0052,2026-02-02T22:26:06.056687+00:00,2026-01-21T10:05:18.297183+00:00,2026-01-21T10:04:49.834013+00:00,2026-01-18T07:36:19.751328+00:00
MCP-H1-0053,2026-02-02T22:26:06.056687+00:00,2026-01-31T10:04:51.731901+00:00,2026-01-31T10:07:53.686984+00:00,2026-01-31T10:04:44.410141+00:00
MCP-H1-0054,2026-02-02T22:26:06.056687+00:00,2026-01-30T06:23:59.214661+00:00,2026-01-30T06:26:59.681678+00:00,2026-01-29T23:30:28.330951+00:00
MCP-H1-0055,2026-02-02T22:26:06.056687+00:00,2026-01-30T06:30:23.097256+00:00,2026-01-30T06:35:13.879838+00:00,2026-01-29T23:36:37.126150+00:00
MCP-H1-0056,2026-02-02T22:26:06.056687+00:00,2026-01-30T06:39:54.460224+00:00,2026-01-30T06:32:48.253728+00:00,2026-01-29T23:40:28.984392+00:00
MCP-H1-0057,2026-02-02T22:26:06.056687+00:00,2026-01-30T06:39:02.933004+00:00,2026-01-30T06:43:07.012736+00:00,2026-01-30T00:25:03.022272+00:00
MCP-H1-0058,2026-02-02T22:26:06.056687+00:00,2026-01-30T06:37:42.136909+00:00,2026-01-30T06:39:29.185753+00:00,2026-01-30T00:34:37.780991+00:00
MCP-H1-0059,2026-02-02T22:26:06.056687+00:00,2026-01-30T06:29:57.503905+00:00,2026-01-30T06:38:54.605380+00:00,2026-01-30T00:39:27.580425+00:00
MCP-H1-0060,2026-02-02T22:26:06.056687+00:00,2026-01-28T17:51:59.439626+00:00,2026-01-28T17:46:49.838476+00:00,2026-01-28T03:38:08.018755+00:00
MCP-H1-0061,2026-02-02T22:26:06.056687+00:00,2026-01-30T05:00:26.415314+00:00,2026-01-30T05:00:49.195384+00:00,2026-01-30T04:54:31.733917+00:00
MCP-H1-0062,2026-02-02T22:26:06.056687+00:00,2026-01-30T05:21:02.930330+00:00,2026-01-30T05:20:47.634714+00:00,2026-01-30T05:04:54.948541+00:00
MCP-H1-0063,2026-02-02T22:26:06.056687+00:00,2026-01-30T05:20:41.102018+00:00,2026-01-30T05:20:29.692081+00:00,2026-01-30T05:16:03.455560+00:00
MCP-H1-0064,2026-02-02T22:26:06.056687+00:00,2026-01-30T05:21:42.117186+00:00,2026-01-30T05:21:58.476307+00:00,2026-01-30T05:20:59.543431+00:00
MCP-H1-0065,2026-02-02T22:26:06.056687+00:00,2026-01-30T05:26:03.933949+00:00,2026-01-30T05:25:50.363783+00:00,2026-01-30T05:24:51.656247+00:00
MCP-H1-0066,2026-02-02T22:26:06.056687+00:00,2026-01-30T05:27:49.458894+00:00,2026-01-30T05:27:48.839706+00:00,2026-01-30T05:27:03.690003+00:00
MCP-H1-0067,2026-02-02T22:26:06.056687+00:00,2026-01-30T12:48:26.467294+00:00,2026-01-30T12:47:29.161392+00:00,2026-01-30T11:19:37.802061+00:00
MCP-H1-0068,2026-02-02T22:26:06.056687+00:00,2026-01-30T12:51:11.247126+00:00,2026-01-30T12:50:47.543021+00:00,2026-01-30T11:19:35.479049+00:00
MCP-H1-0069,2026-02-02T22:26:06.056687+00:00,2026-01-30T12:48:40.985488+00:00,2026-01-30T12:55:46.530855+00:00,2026-01-30T11:19:01.978029+00:00
MCP-H1-0070,2026-02-02T22:26:06.056687+00:00,2026-01-30T12:09:33.797081+00:00,2026-01-30T12:05:15.245962+00:00,2026-01-30T10:38:12.997548+00:00
MCP-H1-0071,2026-02-02T22:26:06.056687+00:00,2026-01-28T18:24:49.694725+00:00,2026-01-28T18:27:20.855911+00:00,2026-01-28T03:23:53.557108+00:00
MCP-H1-0072,2026-02-02T22:26:06.056687+00:00,2026-01-30T12:26:09.600186+00:00,2026-01-30T12:14:57.987730+00:00,2026-01-30T10:42:47.203676+00:00
MCP-H1-0073,2026-02-02T22:26:06.056687+00:00,2026-01-30T12:16:20.079624+00:00,2026-01-30T12:27:19.297414+00:00,2026-01-30T10:36:45.154566+00:00
MCP-H1-0074,2026-02-02T22:26:06.056687+00:00,2026-01-28T18:42:47.067979+00:00,2026-01-28T18:39:40.689337+00:00,2026-01-28T03:19:33.661733+00:00
MCP-H1-0075,2026-02-02T22:26:06.056687+00:00,2026-01-30T18:29:02.168425+00:00,2026-01-30T18:29:20.982861+00:00,2026-01-30T18:22:50.993368+00:00
MCP-H1-0076,2026-02-02T22:26:06.056687+00:00,2026-01-30T14:37:40.533612+00:00,2026-01-30T14:47:20.553531+00:00,2026-01-30T12:18:51.522416+00:00
MCP-H1-0077,2026-02-02T22:26:06.056687+00:00,2026-01-30T14:46:19.203023+00:00,2026-01-30T14:39:59.215691+00:00,2026-01-30T12:33:02.183347+00:00
MCP-H1-0078,2026-02-02T22:26:06.056687+00:00,2026-01-30T14:56:21.531455+00:00,2026-01-30T14:55:16.615771+00:00,2026-01-30T13:10:07.851593+00:00
MCP-H1-0079,2026-02-02T22:26:06.056687+00:00,2026-02-02T16:46:26.023650+00:00,2026-02-02T16:46:08.927571+00:00,2026-02-02T16:46:05.415868+00:00
MCP-H1-0080,2026-02-02T22:26:06.056687+00:00,2026-02-02T16:48:19.240521+00:00,2026-02-02T16:47:29.536550+00:00,2026-02-02T16:47:42.639874+00:00
MCP-H1-0081,2026-02-02T22:26:06.056687+00:00,2026-02-02T16:51:27.688145+00:00,2026-02-02T16:51:02.850982+00:00,2026-02-02T16:51:22.187869+00:00
MCP-H1-0082,2026-02-02T22:26:06.056687+00:00,2026-01-30T17:17:59.914085+00:00,2026-01-30T17:18:31.495858+00:00,2026-01-29T18:40:18.911336+00:00
MCP-H1-0083,2026-02-02T22:26:06.056687+00:00,2026-01-30T16:06:34.599102+00:00,2026-01-30T16:08:50.898771+00:00,2026-01-30T15:15:44.721658+00:00
MCP-H1-0084,2026-02-02T22:26:06.056687+00:00,2026-01-30T16:07:45.083820+00:00,2026-01-30T16:10:05.041311+00:00,2026-01-30T15:15:02.553119+00:00
MCP-H1-0085,2026-02-02T22:26:06.056687+00:00,2026-01-30T16:07:34.261547+00:00,2026-01-30T16:12:55.713802+00:00,2026-01-30T15:17:58.700951+00:00
MCP-H1-0086,2026-02-02T22:26:06.056687+00:00,2026-01-30T18:56:41.869278+00:00,2026-01-30T21:44:12.026216+00:00,2026-01-30T19:02:33.290970+00:00
MCP-H1-0087,2026-02-02T22:26:06.056687+00:00,2026-01-30T19:10:27.454162+00:00,2026-01-30T19:08:34.150772+00:00,2026-01-30T18:57:12.432062+00:00
MCP-H1-0088,2026-02-02T22:26:06.056687+00:00,2026-01-30T16:13:24.012588+00:00,2026-01-30T16:09:29.604977+00:00,2026-01-30T15:17:54.297111+00:00
MCP-H1-0089,2026-02-02T22:26:06.056687+00:00,2026-01-30T21:14:28.119720+00:00,2026-01-30T21:11:00.832393+00:00,2026-01-28T04:00:29.815149+00:00
MCP-H1-0090,2026-02-02T22:26:06.056687+00:00,2026-01-28T19:01:47.918407+00:00,2026-01-28T19:13:34.037994+00:00,2026-01-28T02:44:08.290383+00:00
MCP-H1-0091,2026-02-02T22:26:06.056687+00:00,2026-01-28T19:14:55.447823+00:00,2026-01-28T19:13:53.066287+00:00,2026-01-28T02:44:05.720924+00:00
MCP-H1-0092,2026-02-02T22:26:06.056687+00:00,2026-01-30T20:12:01.221837+00:00,2026-01-30T20:01:29.688859+00:00,2026-01-30T13:07:29.275283+00:00
MCP-H1-0093,2026-02-02T22:26:06.056687+00:00,2026-01-30T21:46:25.218577+00:00,2026-01-30T22:01:33.532891+00:00,2026-01-30T19:03:50.181881+00:00
MCP-H1-0094,2026-02-02T22:26:06.056687+00:00,2026-01-30T21:13:48.610893+00:00,2026-01-30T21:28:33.759927+00:00,2026-01-28T03:56:34.550683+00:00
MCP-H1-0095,2026-02-02T22:26:06.056687+00:00,2026-01-30T21:27:42.129053+00:00,2026-01-30T21:27:10.489250+00:00,2026-01-28T03:56:03.202876+00:00
MCP-H1-0096,2026-02-02T22:26:06.056687+00:00,2026-02-02T16:53:18.293218+00:00,2026-02-02T16:52:42.849633+00:00,2026-02-02T16:51:56.492689+00:00
MCP-H1-0097,2026-02-02T22:26:06.056687+00:00,2026-01-30T21:46:46.761287+00:00,2026-01-30T22:03:56.301382+00:00,2026-01-28T03:52:31.488013+00:00
MCP-H2-0002,2026-02-02T22:26:06.056687+00:00,2026-01-28T05:55:59.115350+00:00,2026-01-28T06:36:21.089674+00:00,2026-01-28T05:26:05.302810+00:00
MCP-H2-0003,2026-02-02T22:26:06.056687+00:00,2026-01-27T12:24:14.152924+00:00,2026-01-27T11:41:01.706425+00:00,2026-01-23T16:44:42.270441+00:00
MCP-H2-0004,2026-02-02T22:26:06.056687+00:00,2026-01-27T11:58:21.862834+00:00,2026-01-27T11:52:58.568055+00:00,2026-01-23T16:47:31.007625+00:00
MCP-H2-0005,2026-02-02T22:26:06.056687+00:00,2026-01-27T11:41:30.111778+00:00,2026-01-27T11:50:09.432753+00:00,2026-01-23T16:49:11.774722+00:00
MCP-H2-0006,2026-02-02T22:26:06.056687+00:00,2026-01-27T11:48:54.285662+00:00,2026-01-27T11:25:04.097626+00:00,2026-01-23T16:51:48.231893+00:00
MCP-H2-0007,2026-02-02T22:26:06.056687+00:00,2026-01-27T11:39:24.220542+00:00,2026-01-27T11:30:02.230369+00:00,2026-01-24T07:37:01.833998+00:00
MCP-H2-0008,2026-02-02T22:26:06.056687+00:00,2026-01-27T12:23:48.176772+00:00,2026-01-27T11:29:14.662045+00:00,2026-01-24T09:55:15.723979+00:00
MCP-H2-0009,2026-02-02T22:26:06.056687+00:00,2026-01-27T12:21:14.561319+00:00,2026-01-27T11:47:58.667398+00:00,2026-01-24T12:51:30.748675+00:00
MCP-H2-0010,2026-02-02T22:26:06.056687+00:00,2026-02-02T16:55:32.190110+00:00,2026-02-02T16:55:05.445394+00:00,2026-02-02T16:55:30.673823+00:00
MCP-H2-0011,2026-02-02T22:26:06.056687+00:00,2026-01-28T16:24:30.651739+00:00,2026-01-28T16:34:27.344168+00:00,2026-01-28T08:33:30.621595+00:00
MCP-H2-0012,2026-02-02T22:26:06.056687+00:00,2026-01-28T05:56:37.747448+00:00,2026-01-28T06:37:28.466799+00:00,2026-01-27T18:39:25.928096+00:00
MCP-H2-0013,2026-02-02T22:26:06.056687+00:00,2026-01-28T15:48:49.546847+00:00,2026-01-28T15:49:50.507049+00:00,2026-01-28T11:38:57.728108+00:00
MCP-H2-0014,2026-02-02T22:26:06.056687+00:00,2026-01-28T17:11:13.621556+00:00,2026-01-28T17:11:31.103049+00:00,2026-01-28T16:32:40.709831+00:00
MCP-H2-0015,2026-02-02T22:26:06.056687+00:00,2026-01-28T17:10:09.948262+00:00,2026-01-28T17:07:28.406453+00:00,2026-01-28T16:31:36.565173+00:00
MCP-H2-0016,2026-02-02T22:26:06.056687+00:00,2026-01-28T17:07:53.229205+00:00,2026-01-28T17:10:47.133454+00:00,2026-01-28T16:23:39.748771+00:00
MCP-H2-0017,2026-02-02T22:26:06.056687+00:00,2026-01-28T17:08:27.305470+00:00,2026-01-28T17:09:46.787190+00:00,2026-01-28T16:26:22.811913+00:00
MCP-H2-0018,2026-02-02T22:26:06.056687+00:00,2026-01-28T17:08:54.625811+00:00,2026-01-28T17:06:56.051895+00:00,2026-01-28T16:21:47.613427+00:00
MCP-H2-0019,2026-02-02T22:26:06.056687+00:00,2026-01-28T12:05:04.678831+00:00,2026-01-28T12:06:27.643654+00:00,2026-01-28T11:45:10.099183+00:00
MCP-H2-0020,2026-02-02T22:26:06.056687+00:00,2026-01-28T12:04:31.604394+00:00,2026-01-28T12:05:15.846246+00:00,2026-01-28T11:06:22.443781+00:00
MCP-H2-0021,2026-02-02T22:26:06.056687+00:00,2026-01-28T17:09:21.748253+00:00,2026-01-28T17:08:02.430765+00:00,2026-01-28T16:32:36.972626+00:00
MCP-H2-0022,2026-02-02T22:26:06.056687+00:00,2026-02-02T16:59:11.560763+00:00,2026-02-02T16:58:33.883709+00:00,2026-02-02T16:59:41.831823+00:00
MCP-H2-0023,2026-02-02T22:26:06.056687+00:00,2026-01-29T10:16:21.409538+00:00,2026-01-29T10:33:48.526142+00:00,2026-01-29T09:35:49.433189+00:00
MCP-H2-0024,2026-02-02T22:26:06.056687+00:00,2026-02-02T17:00:33.423791+00:00,2026-02-02T16:59:36.706579+00:00,2026-02-02T17:00:19.076604+00:00
MCP-H2-0026,2026-02-02T22:26:06.056687+00:00,2026-01-28T19:12:03.246433+00:00,2026-01-28T19:24:19.862740+00:00,2026-01-28T17:04:52.492315+00:00
MCP-H2-0027,2026-02-02T22:26:06.056687+00:00,2026-01-28T18:36:48.450505+00:00,2026-01-28T19:06:03.099257+00:00,2026-01-28T17:00:58.821655+00:00
MCP-H2-0028,2026-02-02T22:26:06.056687+00:00,2026-01-28T19:09:27.036913+00:00,2026-01-28T18:42:05.746739+00:00,2026-01-28T16:54:15.590903+00:00
MCP-H2-0030,2026-02-02T22:26:06.056687+00:00,2026-01-29T17:08:08.778159+00:00,2026-01-29T17:08:49.727505+00:00,2026-01-29T16:55:04.445696+00:00
MCP-H2-0031,2026-02-02T22:26:06.056687+00:00,2026-01-29T15:51:36.523422+00:00,2026-01-29T15:47:35.089207+00:00,2026-01-26T13:38:52.435108+00:00
MCP-H2-0032,2026-02-02T22:26:06.056687+00:00,2026-01-29T15:36:52.497662+00:00,2026-01-29T15:37:00.644229+00:00,2026-01-29T14:58:24.030576+00:00
MCP-H2-0033,2026-02-02T22:26:06.056687+00:00,2026-01-29T15:51:39.087918+00:00,2026-01-29T15:48:22.780516+00:00,2026-01-29T14:58:22.641194+00:00
MCP-H2-0034,2026-02-02T22:26:06.056687+00:00,2026-01-29T15:41:29.908304+00:00,2026-01-29T15:46:36.613637+00:00,2026-01-29T15:03:22.393039+00:00
MCP-H2-0035,2026-02-02T22:26:06.056687+00:00,2026-02-02T17:00:54.818191+00:00,2026-02-02T17:00:38.020891+00:00,2026-02-02T17:00:09.949029+00:00
MCP-H2-0036,2026-02-02T22:26:06.056687+00:00,2026-02-02T17:06:39.470884+00:00,2026-02-02T17:05:57.028638+00:00,2026-02-02T17:07:00.943167+00:00
MCP-H2-0039,2026-02-02T22:26:06.056687+00:00,2026-01-29T06:05:45.191200+00:00,2026-01-29T06:10:30.227060+00:00,2026-01-29T04:40:05.201941+00:00
MCP-H2-0040,2026-02-02T22:26:06.056687+00:00,2026-01-29T06:09:23.605513+00:00,2026-01-29T06:09:24.473299+00:00,2026-01-29T04:41:10.630697+00:00
MCP-H2-0043,2026-02-02T22:26:06.056687+00:00,2026-01-29T06:10:51.957192+00:00,2026-01-29T06:05:23.407269+00:00,2026-01-29T04:45:25.426676+00:00
MCP-H2-0044,2026-02-02T22:26:06.056687+00:00,2026-01-29T06:06:14.009101+00:00,2026-01-29T06:07:10.080408+00:00,2026-01-29T04:46:56.534732+00:00
MCP-H2-0045,2026-02-02T22:26:06.056687+00:00,2026-01-29T06:12:58.093874+00:00,2026-01-29T06:12:30.166514+00:00,2026-01-29T04:48:41.011759+00:00
MCP-H2-0046,2026-02-02T22:26:06.056687+00:00,2026-02-02T17:07:52.490673+00:00,2026-02-02T17:07:25.835535+00:00,2026-02-02T17:07:29.494233+00:00
MCP-H2-0047,2026-02-02T22:26:06.056687+00:00,2026-01-28T19:51:19.750633+00:00,2026-01-28T19:29:00.670788+00:00,2026-01-28T15:04:23.429701+00:00
MCP-H2-0048,2026-02-02T22:26:06.056687+00:00,2026-02-02T17:09:14.309195+00:00,2026-02-02T17:08:11.276057+00:00,2026-02-02T17:08:06.601140+00:00
MCP-H2-0049,2026-02-02T22:26:06.056687+00:00,2026-02-02T17:08:49.431127+00:00,2026-02-02T17:10:31.414135+00:00,2026-02-02T17:10:47.313922+00:00
MCP-H2-0051,2026-02-02T22:26:06.056687+00:00,2026-01-29T20:04:51.021810+00:00,2026-01-29T20:19:18.909200+00:00,2026-01-29T19:05:33.843530+00:00
MCP-H2-0052,2026-02-02T22:26:06.056687+00:00,2026-01-29T20:05:23.479171+00:00,2026-01-29T20:19:05.030227+00:00,2026-01-29T19:18:47.791440+00:00
MCP-H2-0053,2026-02-02T22:26:06.056687+00:00,2026-02-02T17:09:08.941570+00:00,2026-02-02T17:11:15.252621+00:00,2026-02-02T17:10:49.357353+00:00
MCP-H2-0054,2026-02-02T22:26:06.056687+00:00,2026-02-02T14:30:37.038898+00:00,2026-02-02T14:25:43.718491+00:00,2026-02-02T14:25:51.370706+00:00
MCP-H2-0055,2026-02-02T22:26:06.056687+00:00,2026-02-02T14:34:34.655249+00:00,2026-02-02T14:36:15.633904+00:00,2026-02-02T14:34:20.955177+00:00
MCP-H2-0056,2026-02-02T22:26:06.056687+00:00,2026-01-29T18:43:43.320253+00:00,2026-01-29T18:48:26.701885+00:00,2026-01-29T18:44:39.197846+00:00
MCP-H2-0057,2026-02-02T22:26:06.056687+00:00,2026-01-29T19:15:20.502704+00:00,2026-01-29T18:58:59.784499+00:00,2026-01-29T18:14:06.824102+00:00
MCP-H2-0058,2026-02-02T22:26:06.056687+00:00,2026-01-27T21:51:02.130988+00:00,2026-01-27T21:47:22.708989+00:00,2026-01-27T06:53:14.210135+00:00
MCP-H2-0059,2026-02-02T22:26:06.056687+00:00,2026-02-02T17:14:19.633724+00:00,2026-02-02T17:14:06.606658+00:00,2026-02-02T17:13:59.518892+00:00
MCP-H2-0060,2026-02-02T22:26:06.056687+00:00,2026-02-02T17:55:36.614073+00:00,2026-02-02T17:15:38.376664+00:00,2026-02-02T17:15:43.897888+00:00
MCP-H2-0061,2026-02-02T22:26:06.056687+00:00,2026-02-02T17:19:38.494852+00:00,2026-02-02T17:19:19.540306+00:00,2026-02-02T18:19:29.425563+00:00
MCP-H2-0062,2026-02-02T22:26:06.056687+00:00,2026-02-02T17:20:02.785998+00:00,2026-02-02T17:19:19.107642+00:00,2026-02-02T17:56:46.526093+00:00
MCP-H2-0063,2026-02-02T22:26:06.056687+00:00,2026-02-02T14:50:17.583152+00:00,2026-02-02T14:50:23.465812+00:00,2026-02-02T14:50:02.650768+00:00
MCP-H2-0065,2026-02-02T22:26:06.056687+00:00,2026-02-02T15:01:17.092168+00:00,2026-02-02T15:01:48.284594+00:00,2026-02-02T15:01:02.986034+00:00
MCP-H2-0066,2026-02-02T22:26:06.056687+00:00,2026-02-02T15:04:20.696780+00:00,2026-02-02T15:04:38.212788+00:00,2026-02-02T15:04:01.071610+00:00
MCP-H2-0067,2026-02-02T22:26:06.056687+00:00,2026-01-30T08:54:25.184636+00:00,2026-01-30T08:56:47.067998+00:00,2026-01-29T19:06:38.863311+00:00
MCP-H2-0068,2026-02-02T22:26:06.056687+00:00,2026-01-30T08:12:04.199309+00:00,2026-01-30T08:12:16.330819+00:00,2026-01-29T16:49:46.991488+00:00
